"y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007"
"25177.93","26578.78","45648.22","45896.28","42404.93","44414.86","49882.79","67072.68"
"37240.74","38598.63","38701.37","39801.05","56190.55","58121.4","46382.33","47581.76"
"24787.92","25866.34","52008.84","53478.91","47305.27","49028.96","61248.78","58279.21"
"24926.12","45744.48","43762.8","45167.85","44846.82","46316.08","51948.35","55132.35"
"26882.59","37188.74","40049.48","42000.89","51705.08","54279.21","47510.46","64017.05"
"24102.69","51911.3","48352.46","48971.76","52511.25","55691.95","56778.74","54514.22"
"12747.03","43108.94","49809.99","50574.97","43208.44","44375.46","57696.64","44682.73"
,"39141.01","42202.45","43089.14","54103.27","58931.98","44266.06","46874.16"
,"47629.5","46962.84","49697.51","39413.33","42957.41","63144.1","50673.95"
,"49080.15","35552.11","37129.56","53207.57","55017.09","46005.64","54481.43"
,"40904.78","48391.2","50182.68","46709.69","49880.44","56344.01","72062.02"
,"47494.34","41507.87","43352.93","52971.52","56140.95","53317.77","63604.81"
,"34921.3","48846.09","50395.47","48110.42","50499.6","60246.47","43506.77"
,"47198.33","44042.83","46186.21","39504.11","42077.05","52709.0","40846.16"
,"40437.78","37389.94","38412.98","40228.34","42160.27","44429.72","71453.73"
,"48568.83","36955.17","38345.67","43539.58","44976.78","44657.97","32156.7"
,"42259.37","39492.88","40096.36","47222.58","50219.09","49165.71","32827.82"
,"36977.14","41418.57","43336.54","60751.46","65423.3","52747.3","27641.0"
,"35617.48","55142.04","56767.13","54058.49","57354.39","69060.05","44751.82"
,"39067.34","50620.22","51999.75","40260.18","41514.09","59868.19","44488.53"
,"39215.67","37535.78","38870.76","36144.39","38239.53","42208.6","50183.84"
,"55115.67","32951.29","34334.74","62270.72","66174.09","40288.1","48481.58"
,"50315.41","55453.2","58216.11","28394.47","30123.34","68976.29","38687.18"
,"35913.56","27071.18","26965.81","30308.74","32183.87","31379.82",
,"31664.22","27774.39","28845.47","26147.29","27518.55","34266.2",
,"53676.33","24651.71","25092.91","18541.14","22527.38","28919.57",
,"26461.99","15143.23","16487.53","25000.8","26528.13","26136.64",
,"26880.67","22360.38","23267.37","41533.56","43133.59","27626.28",
,"24159.75","38759.43","39797.1","39342.98","42151.88","43679.99",
,"13746.5","35037.15","37220.16","43239.11","46463.85","43928.71",
,"21855.87","38800.65","40924.35","44606.48","45948.85","48918.65",
,"37318.24","41990.69","42766.87","33441.13","35551.51","47012.17",
,"33172.36","30722.46","31977.03",,,"37321.5",
,"37375.47",,,,,,
,"40990.33",,,,,,
,"30005.8",,,,,,
